file	line	call	code
framework/app/core_modules/context/templates/content/manageplugins_tpl.php	26	show	$table->addCell($checkbox->show(), 20);
framework/app/core_modules/context/templates/content/manageplugins_tpl.php	27	show	$label = new label ($objIcon->show(), 'module_'.$plugin['module_id']);
framework/app/core_modules/context/templates/content/manageplugins_tpl.php	28	show	$table->addCell($label->show(), 30);
framework/app/core_modules/context/templates/content/manageplugins_tpl.php	30	show	$table->addCell($label->show().'<br /><br />');
framework/app/core_modules/context/templates/content/manageplugins_tpl.php	33	show	$form->addToForm($table->show());
framework/app/core_modules/context/templates/content/manageplugins_tpl.php	36	show	$form->addToForm($button->show());
framework/app/core_modules/context/templates/content/manageplugins_tpl.php	37	show	echo $form->show();
framework/app/core_modules/context/templates/content/needtojoin_tpl.php	11	show	echo $header->show();
framework/app/core_modules/context/templates/content/needtojoin_tpl.php	30	show	echo '<p><br />'.$link->show().'</p>';
framework/app/core_modules/context/templates/content/searchresults_tpl.php	10	show	echo $header->show();
framework/app/core_modules/context/templates/content/selectdates_tpl.php	18	show	echo $header->show();
framework/app/core_modules/context/templates/content/selectdates_tpl.php	28	show	$startField = $objPopupcal->show('startdate', 'yes', 'no', strftime('%Y-%m-%d %H:%M:%S', time()));
framework/app/core_modules/context/templates/content/selectdates_tpl.php	31	show	$objTable->addCell($objLabel->show());
framework/app/core_modules/context/templates/content/selectdates_tpl.php	35	show	//  $objLabel->show(),
framework/app/core_modules/context/templates/content/selectdates_tpl.php	40	show	$closeField = $objPopupcal->show('enddate', 'yes', 'no', strftime('%Y-%m-%d %H:%M:%S', time()));
framework/app/core_modules/context/templates/content/selectdates_tpl.php	43	show	$objLabel->show(),
framework/app/core_modules/context/templates/content/selectdates_tpl.php	48	show	$objTable->addCell($objLabel->show());
framework/app/core_modules/context/templates/content/selectdates_tpl.php	53	show	$check = $objElement->show();
framework/app/core_modules/context/templates/content/selectdates_tpl.php	74	show	$dropDown->show()
framework/app/core_modules/context/templates/content/selectdates_tpl.php	82	show	$btnSave = $objButton->show();
framework/app/core_modules/context/templates/content/selectdates_tpl.php	88	show	$objForm->addToForm($objTable->show());
framework/app/core_modules/context/templates/content/selectdates_tpl.php	92	show	echo $objForm->show();
framework/app/core_modules/context/templates/content/toolsactivity_tpl.php	16	show	$exportStr = '&nbsp;&nbsp;|&nbsp;&nbsp' . $exportLink->show();
framework/app/core_modules/context/templates/content/toolsactivity_tpl.php	18	show	echo $header->show();
framework/app/core_modules/context/templates/content/toolsactivity_tpl.php	20	show	//echo '<br/>' . $homelink->show();
framework/app/core_modules/context/templates/content/toolsactivity_tpl.php	41	show	$table->addCell($link->show());
framework/app/core_modules/context/templates/content/toolsactivity_tpl.php	46	show	echo $table->show();
framework/app/core_modules/context/templates/content/toolsactivity_tpl.php	47	show	//echo $homelink->show();
framework/app/core_modules/context/templates/content/transfercontextusers_tpl.php	18	show	echo $header->show();
framework/app/core_modules/context/templates/content/transfercontextusers_tpl.php	25	show	echo $heade2->show();
framework/app/core_modules/context/templates/content/transfercontextusers_tpl.php	44	show	$objTable->addCell($course1Dropdown->show());
framework/app/core_modules/context/templates/content/transfercontextusers_tpl.php	53	show	$objTable->addCell($course2Dropdown->show());
framework/app/core_modules/context/templates/content/transfercontextusers_tpl.php	60	show	$buttons = $objButton->show();
framework/app/core_modules/context/templates/content/transfercontextusers_tpl.php	63	show	$objForm->addToForm($objTable->show());
framework/app/core_modules/context/templates/content/transfercontextusers_tpl.php	66	show	echo $objForm->show();
framework/app/core_modules/context/templates/content/useractivitybyid_tpl.php	21	show	$exportStr = '&nbsp;&nbsp;|&nbsp;&nbsp' . $exportLink->show();
framework/app/core_modules/context/templates/content/useractivitybyid_tpl.php	23	show	echo $header->show();
framework/app/core_modules/context/templates/content/useractivitybyid_tpl.php	25	show	//echo '<br/>'.$homelink->show();
framework/app/core_modules/context/templates/content/useractivitybyid_tpl.php	43	show	echo $table->show();
framework/app/core_modules/context/templates/content/useractivitybyid_tpl.php	44	show	//echo $homelink->show();
framework/app/core_modules/context/templates/content/useractivitybymodule_tpl.php	15	show	$exportStr = '&nbsp;&nbsp;|&nbsp;&nbsp' . $exportLink->show();
framework/app/core_modules/context/templates/content/useractivitybymodule_tpl.php	17	show	echo $header->show() . $homelink->show();
framework/app/core_modules/context/templates/content/useractivitybymodule_tpl.php	38	show	$table->addCell($link->show());
framework/app/core_modules/context/templates/content/useractivitybymodule_tpl.php	47	show	$cssLayout->setLeftColumnContent($toolbar->show());
framework/app/core_modules/context/templates/content/useractivitybymodule_tpl.php	48	show	$cssLayout->setMiddleColumnContent($table->show());
framework/app/core_modules/context/templates/content/useractivitybymodule_tpl.php	50	show	//echo $cssLayout->show();
framework/app/core_modules/context/templates/content/useractivitybymodule_tpl.php	51	show	echo $table->show();
framework/app/core_modules/context/templates/content/useractivitybymodule_tpl.php	52	show	echo $homelink->show();
framework/app/core_modules/context/templates/layout/contextlayout_tpl.php	5	show	$cssLayout->setLeftColumnContent($toolbar->show());
framework/app/core_modules/context/templates/layout/contextlayout_tpl.php	11	show	echo $cssLayout->show();
framework/app/core_modules/contextadmin/classes/contextadminnav_class_inc.php	86	show	$str = $heading->show();
framework/app/core_modules/contextadmin/classes/contextadminnav_class_inc.php	93	show	$str .= '<li>'.$mycoursesLink->show().'</li>';
framework/app/core_modules/contextadmin/classes/contextadminnav_class_inc.php	102	show	$str .= '<li>'.$createCourse->show().'</li>';
